minor_name,minor_reqs
Aerospace Studies (Minor),"Requirement 1 — Complete 8 Courses
AEROS 110 - Air Force Today 1.0
AEROS 111 - Aerospace Defense 1.0
AEROS 210 - Develpmntl Growth of Air Power 1.0
AEROS 211 - Develpmntl Growth of Air Power 1.0
AEROS 310 - Mgt & Leadership 3.0
AEROS 311 - Mgt & Leadership 3.0
AEROS 410 - Natnl Sec Affairs 3.0
AEROS 411 - Natnl Sec Affairs 3.0
Note: The requirements listed here are designed for university students interested in Aerospace Studies who are NOT in the Air Force ROTC or seeking a commission. Those who ARE in the Air Force ROTC and are seeking a commission should meet with advisors to discuss requirements."
Africana Studies (Minor),"Requirement 1 — Complete 1 Course
IAS 221 - Intro to Africana Studies 3.0
Requirement 2 — Complete 1 of 10 Courses
Humanities and Fine Arts courses:
ENGL 236 - Studies in British Literature 3.0
ENGL 390R - Transnation/Transatlantic Lit - You may take once - This course is no longer available for registration and will count only if you completed it while it was offered. Please see your college advisement center for possible substitutions. 3.0
ENGL 397R - World Literatures in English - You may take once 3.0
ENGL 495 - Literary Studies Sr Capstone 3.0
FREN 456R - Francophone Studies - You may take once 3.0
IHUM 244 - Humanities of Africa 3.0
IHUM 390R - Junior Seminar - You may take once 3.0
IHUM 490R - Seminar in the Humanities - You may take once 3.0
MUSIC 204 - Introduction to Jazz 3.0
PORT 431R - African Portuguese Lit - You may take once 3.0
Requirement 3 — Complete 1 of 17 Courses
Social Sciences and Development courses:
ANTHR 330 - Peoples of Africa 3.0
EDLF 362 - Intro International Dev Ed 3.0
EDLF 363 - Ed, Poverty & Community Dev 3.0
GEOG 285 - Africa South of the Sahara 3.0
HIST 260 - Early Africa 3.0
HIST 261 - Modern Africa 3.0
HIST 336 - S Africa Liberation 3.0
HIST 339 - African Social Change 3.0
HIST 345 - Islam in Africa 3.0
HIST 366 - Slavery in Africa & Atlantic 3.0
HIST 367 - Slavery in the U.S. 3.0
HIST 373 - Civil War Era 3.0
HIST 383 - African-Am Hist since 1865 3.0
HLTH 480 - International Health 3.0
POLI 352 - African Politics 3.0
SOC 323 - Sociology of Race & Ethnicity 3.0
SOC 370 - Urban Sociology 3.0
Requirement 4 — Complete 3 of 28 Courses
Complete any three additional elective courses.
ANTHR 330 - Peoples of Africa 3.0
EDLF 362 - Intro International Dev Ed 3.0
EDLF 363 - Ed, Poverty & Community Dev 3.0
ENGL 236 - Studies in British Literature 3.0
ENGL 369R - Transnational Lit before 1800 - You may take once 3.0
ENGL 397R - World Literatures in English - You may take once 3.0
ENGL 495 - Literary Studies Sr Capstone 3.0
FREN 456R - Francophone Studies - You may take once 3.0
GEOG 285 - Africa South of the Sahara 3.0
HIST 260 - Early Africa 3.0
HIST 261 - Modern Africa 3.0
HIST 336 - S Africa Liberation 3.0
HIST 339 - African Social Change 3.0
HIST 345 - Islam in Africa 3.0
HIST 366 - Slavery in Africa & Atlantic 3.0
HIST 367 - Slavery in the U.S. 3.0
HIST 373 - Civil War Era 3.0
HIST 383 - African-Am Hist since 1865 3.0
HLTH 480 - International Health 3.0
IAS 399R - Academic Internship - You may take once 0.5v
IHUM 244 - Humanities of Africa 3.0
IHUM 390R - Junior Seminar - You may take once 3.0
IHUM 490R - Seminar in the Humanities - You may take once 3.0
MUSIC 204 - Introduction to Jazz 3.0
POLI 352 - African Politics 3.0
PORT 431R - African Portuguese Lit - You may take once 3.0
SOC 323 - Sociology of Race & Ethnicity 3.0
SOC 370 - Urban Sociology 3.0
Note 1: All R courses must have African or African Diaspora content.
Note 2: All electives must be approved through the Africana Studies Coordinator.
Note 3: A maximum of two courses will be allowed to double-count toward the student's major."
American Indian Studies (Minor),"Requirement 1 — Complete 2 Courses
Core courses:
HIST 386 - Am Indian Hist to 1877 3.0
HIST 387 - Am Indian Hist 1877-present 3.0
Requirement 2 — Complete 1 Requirement
Electives:
Complete 12 hours from at least three disciplines:
Requirement 2.1 — Complete 12 hours
Note: FHSS 351 satisfies this elective requirement only if it focuses on Native American Civil Rights. Please consult with the program director for confirmation.
AM ST 300 - Lit & Cultures of Amer West 3.0
AM ST 300 - Lit & Cultures of Amer West 3.0
ANTHR 317 - Native Peoples of North Amer - This course is no longer available for registration and will count only if you completed it while it was offered. Please see your college advisement center for possible substitutions. 3.0
ANTHR 350 - Arch Cultures of N America 3.0
ANTHR 530 - Great Basin Archaeology 3.0
ANTHR 535 - Southwest Seminar 3.0
ARTHC 380 - Northern Mesoamerican Art 3.0
COMMS 481 - Gender, Race, & Class in Media 3.0
EL ED 203 - Fndtns of Multicultural Educ 2.0
ENGL 358R - Native Amer Lit 1900-Present - You may take once - This course is no longer available for registration and will count only if you completed it while it was offered. Please see your college advisement center for possible substitutions. 3.0
FHSS 351 - Civil Rights Seminar
3.0
HAWAI 100 - Language Study: Hawaiian 2.0
HAWAI 101 - First-Year Hawaiian 4.0
HAWAI 102 - First-Year Hawaiian 4.0
HAWAI 201 - Second-Year Hawaiian 4.0
HAWAI 202 - Second-Year Hawaiian 4.0
HIST 206R - Regional and Thematic Fam Hist - You may take once 1.0
HIST 357 - Indian in Latin Am 3.0
HIST 360 - American West to 1900 3.0
HIST 361 - American West Since 1900 3.0
HIST 363 - Spanish Frontier in North Amer 3.0
HIST 405 - Native Amer Family History - This course is no longer available for registration and will count only if you completed it while it was offered. Please see your college advisement center for possible substitutions. 3.0
HIST 495R - Directed Research - You may take once 3.0
HIST 498R - Directed Readings - You may take once 0.5v
HUM 425R - Area Studies - You may take once - This course is no longer available for registration and will count only if you completed it while it was offered. Please see your college advisement center for possible substitutions. 3.0
NAVAJ 100 - Language Study: Navajo 2.0
NAVAJ 101 - First-Year Navajo 4.0
NAVAJ 102 - First-Year Navajo 4.0
NAVAJ 102 - First-Year Navajo 4.0
NAVAJ 201 - Second-Year Navajo 4.0
NAVAJ 202 - Second-Year Navajo 4.0
PWS 101 - Cult Hist of Medicinal Plants 3.0
SOC 113 - Multicultural America 3.0
SOC 323 - Sociology of Race & Ethnicity 3.0
SOC 390R - Special Topics - You may take once 0.5v
Please note:
-- Engl 358R and Hist 206R must be in a Native American topic.
-- Hist 495R, 498R, and Soc 390R require approval by IAS coordinator."
Ancient Near Eastern Studies (Minor),"Requirement 1 — Complete 3 Courses
Core courses:
ANES 201 - Introduction to ANES 3.0
HIST 238 - Ancient Near East to 330 BC 3.0
HIST 239 - Ancient Near East 330BC-640AD 3.0
Requirement 2 — Complete 1 of 2 Options
Option 2.1 — Complete 3 Courses
Hebrew Bible
ANES 301 - Methods & Sources Hebrew Bible 3.0
HEB 131 - 1st-Year Biblical Hebrew 4.0
HEB 132 - 1st-Year Biblical Hebrew 4.0
Option 2.2 — Complete 3 Courses
Greek New Testament
ANES 302 - Methods & Sources Greek NT 3.0
GREEK 101 - First-Year Greek 4.0
GREEK 102- First-Year Greek 4.0
Note: Students are encouraged to take Old and New Testament courses (REL A 211, REL A 212,REL A 301, REL A 302) offered by the Department of Ancient Scripture as part of their Religious Education elective requirements."
Anthropology (Minor),"Requirement 1 — Complete 16 hours
No more than two courses can be taken from lower-division (100-level) course offerings.
ANTHR 101 - Social/Cultural Anthropology 3.0
ANTHR 103 - Archaeology Field Trip 1.0
ANTHR 110 - Discovering Archaeology 3.0
ANTHR 150 - Introduction to the Major 0.5
ANTHR 201 - Foundations of Social Theory 3.0
ANTHR 202 - Foundations of Anthr Theory 3.0
ANTHR 215 - Archaeological Method Theory 3.0
ANTHR 247 - Applied Anthropology 3.0
ANTHR 300 - Biological Anthropology 3.0
ANTHR 301 - Human Osteology 3.0
ANTHR 309 - Language, Culture, & Society 3.0
ANTHR 311 - Museums & Cultures 3.0
ANTHR 312 - Intercultural Communication 3.0
ANTHR 314 - Museum Registration & Ethics 3.0
ANTHR 327 - The Hmong Diaspora 3.0
ANTHR 328 - Andean South America 3.0
ANTHR 330 - Peoples of Africa 3.0
ANTHR 340 - Peoples of the Middle East 3.0
ANTHR 341 - Ethnonationalism and SE Asia 3.0
ANTHR 343 - Chinese Culture & Society 3.0
ANTHR 344 - Korean Culture 3.0
ANTHR 345 - American Culture 3.0
ANTHR 350 - Arch Cultures of N America 3.0
ANTHR 351 - Archaeology and the Bible 3.0
ANTHR 355 - Arch Mesoamerica 3.0
ANTHR 370 - Community Based Interventions 3.0
ANTHR 375 - Archaeology of Egypt 3.0
ANTHR 376 - Arch of Ancient Aegean&Greece 3.0
ANTHR 377 - Arch of Roman Civilization 3.0
ANTHR 378 - Near Eastern Archaeology 3.0
ANTHR 379 - Archaeology of Islam 3.0
ANTHR 385 - Archaeology of Europe 3.0
ANTHR 390R - Spec Topics in Regional Anthro - You may take once 0.5v
ANTHR 402 - Quantitative Methods 3.0
ANTHR 404 - Historical Anthropology 3.0
ANTHR 405 - Archaeological Science 3.0
ANTHR 406 - Digital Archaeology 3.0
ANTHR 407 - Multispecies Sociality 3.0
ANTHR 410 - Ethnoarchaeology 3.0
ANTHR 412 - Museum Collections Management 3.0
ANTHR 414 - Museum Projects 3.0
ANTHR 430 - Moral & Ritual Institutions 3.0
ANTHR 431 - Kinship & Gender 3.0
ANTHR 432 - Economic&Political Institutns 3.0
ANTHR 434 - Medical Anthropology 3.0
ANTHR 436 - Symbolic Anthropology 3.0
ANTHR 439 - Psychological Anthropology 3.0
ANTHR 440 - The End of the World 3.0
ANTHR 442 - Ethnographic Research Design 3.0
ANTHR 450 - Anthropology Seminar 1.0
ANTHR 454 - Field School Prep 2.0
ANTHR 455 - Field School of Archaeology 6.0
ANTHR 456 - Lab Skills for Anthropology 3.0
ANTHR 490R - Special Topics in Anthropology - You may take once 0.5v
ANTHR 495R - Ethnographic Field Project - You may take once 3.0v
ANTHR 497 - Directed Readings 3.0
ANTHR 499 - Senior Thesis 3.0
IAS 353R - Intercultural Outreach Prep - You may take once 1.0v"
Arabic (Minor),"Requirement 1 — Complete 1 Requirement
Prerequisite courses:
Requirement 1.1 — Complete 4 Courses
ARAB 101 - 1st-Year Arabic 4.0
ARAB 102 - 1st-Year Arabic 4.0
ARAB 201 - 2nd-Year Arabic 4.0
ARAB 202 - Intermediate Arabic 4.0
Note: Prerequisite courses may be waived by previous language experience.
Requirement 2 — Complete 2 Requirements
Requirement 2.1 — Complete 4 Courses
Complete the following (normally as part of a BYU Semester Abroad program):
ARAB 211R - 2nd-Year Conversation - You may take once 2.0
ARAB 300 - Adv Modern Standard Arabic 4.0
ARAB 302 - Newspaper Arabic 4.0
ARAB 311R - 3rd-Year Conversation - You may take once 1.0v
Requirement 2.2 — Complete 1 of 8 Courses
And complete one additional Arabic language course:
ARAB 331 - Spoken Arabic - Egyptian 4.0
ARAB 421R - 4th-Yr Arabic Writing Tutorial - You may take once 2.0
ARAB 422R - Advanced Spoken Arabic - You may take once 2.0
ARAB 423R - Current Events in Arabic - You may take once 2.0
ARAB 424R - Modern Arabic Literature - You may take once 2.0
ARAB 425R - Classical Arabic Texts - You may take once 2.0
ARAB 426R - Advanced Arabic Grammar - You may take once 2.0
ARAB 490R - Independent Readings - You may take once 0.5v
Requirement 3 — Complete 1 Course
IHUM 242 - Intro to Humanities of Islam 3.0"
Art (Minor),"Requirement 1 — Complete 1 Course
ART 101 - Intro to Art and Drawing 3.0
Note: Courses listed as majors-only (ART 210, 215, 216, 217, 225, and 260) will have a temporary registration period 3-4 weeks prior to the beginning of Fall and Winter semesters, during which minors will be able to add these courses to their schedule. Minors who miss this registration period will need to seek a Permission-to-add code from the instructor on the first day of class.
Requirement 2 — Complete 3 hours
ART 104 - Intro to Sculpture - Non-Major 3.0
ART 105 - Intro to Ceramics - Non-Majors 3.0
ART 216 - Ceramics Fundamentals 1.5
ART 217 - Sculpture Fundamentals 1.5
Requirement 3 — Complete 3 hours
ART 110 - Painting for Non-Majors 3.0
ART 120 - Watercolor for Non-Majors 3.0
ART 122 - Printmaking for Non-Majors 3.0
ART 210 - New Genre Interdisciplinary 3.0
ART 215 - Painting Fundamentals 3.0
ART 220 - Intro to Drawing & Fig Drawing 3.0
ART 225 - Printmaking Fundamentals 3.0
ART 260 - Photo Fundamentals 3.0
Requirement 4 — Complete 6 hours
Note: Courses from Requirement 2 or 3 cannot double count for Requirement 4.
ART 104 - Intro to Sculpture - Non-Major 3.0
ART 105 - Intro to Ceramics - Non-Majors 3.0
ART 110 - Painting for Non-Majors 3.0
ART 120 - Watercolor for Non-Majors 3.0
ART 122 - Printmaking for Non-Majors 3.0
ART 210 - New Genre Interdisciplinary 3.0
ART 215 - Painting Fundamentals 3.0
ART 216 - Ceramics Fundamentals 1.5
ART 217 - Sculpture Fundamentals 1.5
ART 220 - Intro to Drawing & Fig Drawing 3.0
ART 225 - Printmaking Fundamentals 3.0
ART 260 - Photo Fundamentals 3.0
Requirement 5 — Complete 2 Courses
ARTED 397 - Issues in Contemporary Art 3.0
ARTHC 201 - World Civilization to 1500 3.0
ARTHC 202 - World Civilization Since 1500 3.0"
Art Education (Minor) *,"This minor is designed to prepare students to teach in public schools. A teaching minor may only be received by students graduating with a teaching major. In order to graduate with this minor, students are required to complete Utah State Office of Education licensing requirements. To view these requirements go to https://www.schools.utah.gov/curr/licensing or contact the Education Advisement Center, 350 MCKB, 801-422-3426.
For students accepted into the major after December 16, 2019, grades below C in any required coursework in a teaching major or teaching minor will not be accepted. Teacher candidates must maintain a cumulative GPA of 2.7 or higher once admitted into the program and to qualify for student teaching. For additional details on admission and retention requirements for teaching majors and teaching minors, see Educator Preparation Program Requirements in the Undergraduate Catalog.
Requirement 1 — Complete 3 Courses
Core courses:
ART 102 - Intro to Art 2D 3.0
ART 133 - Intro to Art 3D 3.0
ART 226 - Ways of Being an Artist 3.0
Requirement 2 — Complete 3 Courses
Art Education courses:
ARTED 378 - K-12 ClssrmMgmt,3D Mthds&Pract 3.0
ARTED 397 - Issues in Contemporary Art 3.0
ARTED 450 - Adv Sec Stu Tchg Mthds Art Ed 3.0
Requirement 3 — Complete 7.5 hours
ART 210 - New Genre Interdisciplinary 3.0
ART 215 - Painting Fundamentals 3.0
ART 216 - Ceramics Fundamentals 1.5
ART 217 - Sculpture Fundamentals 1.5
ART 220 - Intro to Drawing & Fig Drawing 3.0
ART 225 - Printmaking Fundamentals 3.0
Requirement 4 — Complete 1 Course
ARTED 477R - Sec Minor Student Teaching - You may take once 4.0"
Art History & Curatorial Studies (Minor),"Requirement 1 — Complete 18 hours
Complete 18 elective hours from the following:
ARTHC 201 - World Civilization to 1500 3.0
ARTHC 202 - World Civilization Since 1500 3.0
ARTHC 300 - Theory & Methodology 3.0
ARTHC 301 - Women in Art 3.0
ARTHC 304 - Greek Art 3.0
ARTHC 306 - Roman Art 3.0
ARTHC 310 - Early Christian&Byzantine Art 3.0
ARTHC 316 - Art of the Medieval West 3.0
ARTHC 320 - Italian Renaissance 3.0
ARTHC 325 - Northern Renaissance 3.0
ARTHC 329 - Ren & Baroque Arch 3.0
ARTHC 330 - Southern Baroque Art 3.0
ARTHC 335 - Northern Baroque Art 3.0
ARTHC 337 - 18th-Century European Art 3.0
ARTHC 340 - 19th C Europe Art 3.0
ARTHC 345 - American Art to 1876 3.0
ARTHC 350 - Modern Art 3.0
ARTHC 353 - American Art 1876-1950 3.0
ARTHC 355 - Contemporary Art 3.0
ARTHC 365 - Amer Architecture 3.0
ARTHC 367 - Modern Architectur 3.0
ARTHC 379 - History of Photography 3.0
ARTHC 380 - Northern Mesoamerican Art 3.0
ARTHC 382 - Southern Mesoamerican Art 3.0
ARTHC 490R - Spec Top Read Arth - You may take 2 times 1.0v
ARTHC 492R - Special Studies on Site - You may take 2 times 1.0v
Note: No substitutions permitted."
Arts in the K-6 Classroom (Minor),"This minor is designed to fulfill requirements necessary for the Utah State Board of Education Arts Integration Endorsement. This minor includes coursework spanning multiple art forms and pedagogies, additional coursework in an area of artistic focus, and coursework related to the integration of arts into the classroom. Successful completion of this minor will prepare students to integrate dance, drama, music, and visual art into other areas of core curriculum taught in elementary classrooms. This minor does not indicate subject area specialization in the arts or qualification for teaching arts courses per se, but rather reflects training in the application of arts-based pedagogies and methodologies to the teaching of other core elementary classroom curricula.
Students completing this minor, along with another education degree pursuant to state educator licensure, should verify with the advisement center in the College of Education that the submission materials for their licensure include their application for Arts Integration endorsement.
Requirement 1 — Complete 1 Course
Arts Integration and Assessment
FNART 226 - Arts Integration 2.0
Requirement 2 — Complete 4 Courses
Arts in the Classroom
ARTED 326 - Art for Elementary Teachers 3.0
DANCE 326 - Dance for Elementary Classroom 2.0
MUSIC 378 - Mu Elem Clsrm Tchr 2.0
TMA 352 - Drama in the Elem Classroom 2.0
Requirement 3 — Complete 1 of 4 Options
Option 3.1 — Complete 2 of 8 Courses
ART
ART 101 - Intro to Art and Drawing 3.0
ART 102 - Intro 2D Color and Composition 3.0
ART 104 - Intro to Sculpture - Non-Major 3.0
ART 105 - Intro to Ceramics - Non-Majors 3.0
ART 110 - Painting for Non-Majors 3.0
ART 122 - Printmaking for Non-Majors 3.0
ART 133 - 3-D Design 1.5
ARTED 397 - Issues in Contemporary Art 3.0
Option 3.2 — Complete 2 Requirements
DANCE
Requirement 3.2.1 — Complete 2 hours
Movement
DANCE 240R - Contemp Mdrn, Tech & Theory 1 - You may take once 1.5
DANCE 243R - Std Workshop Cont Mdrn Dance - You may take once 2.5
DANCE 245 - Foundational Street Dance 1.0
DANCE 270 - Cultural Dance Technique 1 1.0
Requirement 3.2.2 — Complete 2 hours
Pedagogy, Theory, and Creativity
DANCE 244R - Std Wrkshp Improv & Choreog - You may take once 1.0
DANCE 276R - Exploration of Teaching - You may take once 3.0
DANCE 345 - Accelerated Street Dance 1.5
DANCE 346 - DANCE DIASPORA 3.0
DANCE 348R - Kinnect - You may take once 1.0v
DANCE 376 - Mthds of Tchg World Dance 2.0
Option 3.3 — Complete 4 hours
MUSIC
Option 3.3.1 — Complete at least 3 hours up to 4 hours
MUSIC 100 - Music Fundamentals 2.0
MUSIC 101 - Introduction to Music 3.0
MUSIC 160R - Performance Instruction - You may take once 0.5v
MUSIC 201 - Civilization: Music 1 3.0
MUSIC 202 - Civilization: Music 2 3.0
MUSIC 203 - World Music Cultures 3.0
MUSIC 204 - Introduction to Jazz 3.0
Note: Upper-division private instruction may also partially fulfill this requirement; no more than 2 total credits of private instruction may count toward this option.
Option 3.3.2 — Complete up to 1 hour
No more than 1 credit of performance ensemble may count toward this requirement.
MUSIC 311R - University Chorale - You may take once 1.0
MUSIC 312R - Men's Chorus - You may take once 1.0
MUSIC 313R - Women's Chorus - You may take once 1.0
MUSIC 314R - Concert Choir - You may take once 1.0
MUSIC 315R - University Singers - You may take once 1.0
MUSIC 316R - Opera Workshop - You may take once 1.0
MUSIC 317R - Opera Ensemble - You may take once 0.5v
MUSIC 321R - University Orchestra - You may take once 1.0
MUSIC 322R - University Band - You may take once 1.0
MUSIC 323R - Marching Band - You may take once 1.0
MUSIC 324R - Cougar Band - You may take once 1.0
MUSIC 325R - Symphonic Band - You may take once 1.0
MUSIC 326R - Wind Symphony - You may take once 1.0
MUSIC 329R - Folk Ensemble - You may take once 1.0
MUSIC 330R - Steel Band - You may take once 1.0
MUSIC 331R - Jazz Combos - You may take once 1.0
MUSIC 332R - YA Show Band - You may take once 1.0
MUSIC 333R - Jazz Ensemble - You may take once 1.0
MUSIC 334R - Synthesis - You may take once 1.0
MUSIC 335R - Jazz Legacy Band - You may take once 1.0
MUSIC 336R - Balinese Gamelan - You may take once 1.0
MUSIC 337R - Symphony Orchestra - You may take once 1.0
MUSIC 338R - Philharmonic Orchestra - You may take once 1.0
MUSIC 339R - Chamber Orchestra - You may take once 1.0
MUSIC 340R - Harp Ensemble - You may take once 1.0
MUSIC 341R - Brass Chamber Musc - You may take once 1.0
MUSIC 342R - Early Music Ensemble - You may take once 1.0
MUSIC 343R - Guitar Ensemble - You may take once 1.0
MUSIC 345R - Percussion Ensemble - You may take once 1.0
MUSIC 346R - String Chamber Music - You may take once 1.0
MUSIC 348R - Woodwind Chamber M - You may take once 1.0
MUSIC 441R - New Music Ensemble - You may take once 1.0
Option 3.5 — Complete 4 hours
THEATRE AND MEDIA ARTS
TMA 115 - Intro to Performance Studies 3.0
TMA 121 - Voice & Diction 2.0
TMA 123 - Acting Fundamentals 2.0
TMA 127 - Beginning Stage Combat 1.0
TMA 140 - Script Analysis 2.0
TMA 251 - Playwriting 1 3.0
TMA 252 - Puppetry 2.0
TMA 257 - Storytelling 2.0
TMA 266 - Principles of Stage Craft 2.0
TMA 267 - Principles of Makeup 2.0
TMA 375 - Creative Drama 2.0
TMA 377C - Methods Applied Theatre 3.0
TMA 392 - Children's Media 3.0
TMA 455R - Theatre Tour - You may take once 3.0"
